,city,city_cloud,city_hum,city_lat,city_temp,city_wind
596,chumikan,0,68,54.72,52.6,8.75
597,oster,75,81,50.95,53.6,8.95
598,tazmalt,40,69,36.39,73.4,6.93
599,bowen,40,93,-20.01,57.2,3.36
600,tabasco,75,49,21.87,71.6,3.36
601,corpus christi,40,72,27.8,77.61,9.17
602,sompeta,8,88,18.93,75.1,4.61
603,manta,8,86,45.1,37.84,2.59
604,jackson,90,84,35.61,64.49,8.05
605,pochutla,75,66,15.74,86.74,3.27
606,port keats,8,75,-14.25,74.65,15.57
607,amahai,88,100,-3.31,77.53,6.4
608,qaqortoq,75,75,60.72,44.6,20.8
609,sri aman,64,100,1.24,73.4,2.15
610,gopalpur,48,91,25.6,78.88,4.38
611,east london,0,100,-33.02,68.8,13.22
612,ordynskoye,0,83,54.37,46.93,2.71
613,nechi,44,93,5.59,70.24,1.25
614,khuzdar,0,68,27.8,52.96,2.15
615,killybegs,64,100,54.63,50.53,11.77
616,trincomalee,36,96,8.58,73.66,3.04
617,darhan,92,89,49.49,31.9,2.82
618,yeppoon,40,82,-23.13,62.6,1.12
619,jepelacio,44,80,-6.11,78.7,0.92
620,honggang,44,93,29.51,58.36,2.04
621,bozoum,12,90,6.31,69.7,2.15
622,bitung,20,83,1.44,75.2,4.7
623,pontianak,8,100,-0.02,75.1,3.94
624,plast,12,87,54.37,41.53,8.75
625,muscle shoals,75,87,34.75,69.58,13.87
626,tuktoyaktuk,90,100,69.44,32.0,23.04
627,orocue,0,58,4.79,90.04,6.4
628,abay,0,93,49.63,39.2,6.71
629,kadnikov,92,88,59.5,41.17,18.7
630,oskemen,0,93,49.96,41.0,2.24
631,middelburg,92,38,-25.77,70.51,5.95
632,hulan ergi,48,81,47.2,50.53,12.1
633,boyolangu,8,88,-8.09,61.6,4.83
634,copperas cove,1,46,31.12,75.11,3.36
635,amapa,40,55,15.09,91.4,2.59
636,kavieng,0,100,-2.57,83.29,9.75
637,kruisfontein,0,91,-34.0,58.81,2.37
638,monrovia,75,94,6.33,75.2,3.36
639,bubaque,0,88,11.28,82.4,6.93
640,tapejara,80,74,-23.73,75.01,7.63
641,kalamazoo,1,59,42.29,62.87,10.29
642,general roca,92,95,-39.03,50.71,9.31
643,hay river,75,58,60.82,30.2,14.99
644,birin,0,84,35.01,62.41,4.16
645,mahibadhoo,64,100,3.78,81.58,23.73
646,boa vista,40,52,2.82,91.4,8.05
647,karratha,0,66,-20.74,60.61,4.16
648,sauk rapids,75,66,45.59,55.74,8.05
649,kununurra,90,73,-15.77,75.2,2.24
650,lydenburg,0,90,-25.1,58.63,1.25
651,huazhou,92,100,21.65,74.47,3.83
652,sechura,0,83,-5.56,72.85,14.34
653,sarkand,0,73,45.41,42.7,5.61
654,guiratinga,64,41,-16.35,90.31,3.04
655,paso de carrasco,40,72,-34.86,63.54,19.46
656,kungurtug,92,97,50.6,35.14,10.31
657,port moresby,75,83,-9.47,69.8,3.36
658,petropavlovsk-kamchatskiy,0,86,53.05,33.8,6.71
659,rupert,1,4,42.62,71.96,6.93
660,honiara,40,94,-9.43,73.4,5.06
661,hennebont,0,100,47.81,59.0,3.36
662,atyrau,0,87,47.1,46.4,8.95
663,pacasmayo,0,95,-7.4,63.13,13.67
664,chulman,12,82,56.84,38.11,2.48
665,cabanas,75,88,43.42,66.38,1.12
666,baghdad,0,25,33.3,84.2,4.7
667,lata,8,100,30.78,50.44,1.81
668,baculin,0,91,7.45,78.16,7.4
669,minab,0,74,27.15,86.0,4.7
670,mazara del vallo,20,68,37.65,66.2,4.7
671,atasu,0,74,48.68,43.15,2.71
672,mana,0,87,43.52,40.91,1.12
673,jinxiang,12,83,35.07,59.62,2.93
674,goderich,68,68,43.74,62.5,13.22
675,batagay-alyta,0,68,67.8,8.23,3.15
676,caucasia,24,74,7.98,86.08,0.58
677,dolinsk,20,93,47.32,42.8,13.42
678,guanica,75,100,17.97,84.2,17.22
679,turmalina,8,34,-17.29,81.4,6.62
680,clyde river,75,92,70.47,28.4,18.34
681,diamantino,0,59,-14.4,87.61,4.72
682,port-cartier,20,62,50.03,51.8,11.41
683,pitiquito,0,21,30.68,101.2,5.28
684,vestmanna,76,70,62.16,46.4,12.75
685,sao jose da coroa grande,92,90,-8.9,75.91,8.41
686,barra do garcas,20,30,-15.89,98.6,6.93
687,antofagasta,20,63,-23.65,62.6,14.99
688,bethanien,0,33,-26.5,58.81,8.52
689,bereda,75,88,43.27,64.4,1.12
690,joigny,0,72,47.98,60.8,3.36
691,karatau,0,63,43.18,53.86,6.51
692,reconquista,56,76,-29.14,75.28,6.4
693,bintulu,75,100,3.17,73.4,3.36
694,grand gaube,75,73,-20.01,73.4,12.75
695,lazaro cardenas,40,44,28.39,77.0,5.82
696,yatou,48,98,3.63,80.05,9.98
697,garissa,56,85,-0.46,75.1,10.09
698,san joaquin,64,89,10.59,77.17,7.07
699,harlingen,75,69,26.19,83.57,9.17
700,pevek,8,92,69.7,43.78,17.02
701,novyy urengoy,92,97,66.08,48.46,16.46
702,flinders,0,81,-34.58,46.4,5.82
703,tashtyp,0,85,52.8,37.21,2.37
704,khasan,0,100,42.43,49.99,3.94
705,paranaiba,68,73,-19.68,77.53,14.34
706,cachoeira,0,58,-12.6,80.5,9.98
707,eregli,0,85,37.51,48.01,2.48
708,erenhot,0,61,43.65,34.42,11.21
709,matara,0,328,-13.74,37.4,12.75
710,misratah,88,100,32.38,66.1,14.67
711,union city,90,87,36.42,62.24,6.93
712,vung tau,20,94,10.35,80.6,4.7
713,ponta delgada,20,88,37.73,75.2,4.7
714,jishou,76,96,28.26,60.43,2.93
715,cody,40,41,44.53,57.02,10.29
716,trelew,92,80,-43.25,46.84,17.02
717,rey bouba,8,87,8.67,75.91,2.71
718,ust-ilimsk,88,98,57.96,38.47,4.61
719,ravar,0,38,31.27,56.56,3.71
720,albina,0,61,5.5,86.08,4.72
721,bolobo,48,98,-2.17,72.85,3.71
722,bathsheba,40,66,13.22,87.8,25.28
723,podgornoye,0,82,57.79,43.87,4.38
724,chihuahua,40,44,28.66,77.0,5.82
725,sarangani,44,95,5.4,83.83,9.08
726,luganville,100,100,-15.51,75.82,17.36
727,port hardy,20,77,50.7,60.8,13.87
728,nadym,92,95,65.53,51.88,18.48
729,chalus,90,100,36.66,69.8,4.7
730,pallasovka,32,52,50.04,50.71,17.81
731,matagami,32,93,9.67,66.91,2.71
732,sao felix do xingu,56,98,-6.64,75.73,2.26
733,mragowo,0,82,53.86,58.9,19.82
734,nouakchott,0,86,18.08,84.91,18.48
735,xiashi,92,99,22.12,66.91,6.17
736,tulsipur,0,91,27.53,74.74,2.71
737,maslovka,75,87,51.55,48.2,11.18
738,carutapera,92,76,-1.2,82.03,14.23
739,miranda,40,48,3.25,86.0,6.93
740,tromso,40,80,69.65,33.8,2.24
741,isiro,76,98,2.77,67.63,2.59
742,vilcun,92,94,-38.65,47.29,9.64
743,mahenge,0,75,-8.68,73.3,6.96
744,shenjiamen,24,90,29.96,76.63,18.03
745,narsaq,75,75,60.91,44.6,20.8
746,umm lajj,0,97,25.02,80.95,2.04
